"3365","Tengslemark Børnehave","3312","os2intra_organizaiton_tax",,,"21",,"TENG-BØRN"
"3366","Ung i Odsherred","3312","os2intra_organizaiton_tax",,,"4",,"UNG-ODS"
"3367","Vallekilde-Hørve Skole","3369","os2intra_organizaiton_tax",,,"1",,"VAHØSKOLE"
"3368","Vig Juniorklub","3369","os2intra_organizaiton_tax",,,"2",,"VIG-JUN"
"3369","Vig Afdeling Skole","3312","os2intra_organizaiton_tax",,,"0",,"VIG-SKOLE"
"3370","Vig Skole Specialklasserne","3369","os2intra_organizaiton_tax",,,"3",,"VIG-SK-SPE"
"3371","Direktionen","1","os2intra_organizaiton_tax",,,"16",,"DIREKTION"
"3372","Folkesundhed","3773","os2intra_organizaiton_tax",,,"6",,"FOLK-SUND"
"3373","HR","1","os2intra_organizaiton_tax",,,"18",,"HR"
"3374","Kontorelever","3373","os2intra_organizaiton_tax",,"filtered_html","2",,"KONTORELEV"
"3375","Lønadministration","3373","os2intra_organizaiton_tax",,,"0",,"LØNADMIN"
"3376","Organisation og Arbejdsmiljø","3373","os2intra_organizaiton_tax",,,"1",,"ORG-ARBMIL"
"3380","Borgerservice","3393","os2intra_organizaiton_tax",,,"0",,"BORGSERV"
"3383","Job og Ydelser","1","os2intra_organizaiton_tax",,"filtered_html","22",,"JOB-YDELSE"
"3384","Administration, Job og Ydelser","3383","os2intra_organizaiton_tax",,"filtered_html","0",,"ADM-JOB-YD"
"3386","Team på tværs","3774","os2intra_organizaiton_tax",,,"1",,"TVÆRS"
"3387","Ydelser","3383","os2intra_organizaiton_tax",,"filtered_html","2",,"UDBETALING"
"3388","Vasac Odsherred","3774","os2intra_organizaiton_tax",,,"4",,"VASACODS"
"3389","Vasac Særlig tilrettelagt uddannelse","3774","os2intra_organizaiton_tax",,,"0",,"VASAC-STU"
"3390","Vasac Produktionsgruppen","3774","os2intra_organizaiton_tax",,,"2",,"VAS-PROD"
"3391","Vasac Pædagoggruppen","3774","os2intra_organizaiton_tax",,,"1",,"VAS-PÆD"
"3392","Væksthuset","3774","os2intra_organizaiton_tax",,,"3",,"VÆKSTHUSET"
"3393","Odsherred Bibliotek","3397","os2intra_organizaiton_tax",,,"1",,"BIBLIOTEK"
"3394","Hallerne i Asnæs","3397","os2intra_organizaiton_tax",,,"0",,"HAL-ASNÆS"
"3395","Hallerne i Nykøbing","3397","os2intra_organizaiton_tax",,,"1",,"HAL-NYK"
"3396","Hallerne i Odsherred","3397","os2intra_organizaiton_tax",,,"3",,"HAL-ODS"
"3397","Kultur og Borger","1","os2intra_organizaiton_tax",,"filtered_html","25",,"KULT-BORG"
"3398","Kultur og Fritid","3397","os2intra_organizaiton_tax",,,"0",,"KULT-FRIT"
"3399","Odsherred Musikskole","3312","os2intra_organizaiton_tax",,,"3",,"MUSIKSKOLE"
"3400","Hallerne i Vig","3397","os2intra_organizaiton_tax",,,"2",,"ODSH-HAL"
"3401","Rusmiddelteam","3774","os2intra_organizaiton_tax",,,"2",,"RUSMIDDEL"
"3402","Sognegården i Rørvig","3397","os2intra_organizaiton_tax",,,"2",,"SOGNEGÅRD"
"3403","Sundhedsfremme og Forebyggelse","3773","os2intra_organizaiton_tax",,,"0",,"SUND-FOR"
"3404","Sundhed Serviceteamet","3773","os2intra_organizaiton_tax",,,"1",,"SUND-SERV"
"3405","Genbrugsstationerne","3412","os2intra_organizaiton_tax",,,"2",,"GENBR-STAT"
"3406","Genbrugsstationen Fårevejle","3412","os2intra_organizaiton_tax",,,"3",,"GEN-STA-FÅ"
"3407","Genbrugsstationen Hønsinge","3412","os2intra_organizaiton_tax",,,"1",,"GEN-STA-HØ"
